Top pages,Clicks,Impressions,CTR,Position
https://sd18sports.com/blog/make-it-memorable,1,9,11.11%,5.89
https://sd18sports.com/productdetails/sd18-bucket-hat,1,9,11.11%,7.78
https://sd18sports.com/category/sports-accessories?page=6,1,8,12.5%,7
https://sd18sports.com/blogs,0,236,0%,11.07
https://sd18sports.com/productdetails/sd18-sky-hip-hop-cap,0,232,0%,6.22
https://sd18sports.com/productdetails/sd18-blue-classic-polo-t-shirt,0,157,0%,4.59
https://sd18sports.com/productdetails/sd18-green-football-jersey,0,136,0%,9.1
https://sd18sports.com/carts,0,136,0%,11.41
https://sd18sports.com/privacy-policy,0,113,0%,12.27
https://sd18sports.com/productdetails/sd18-orange-basic-polo-t-shirt?size=1,0,111,0%,7.86
https://sd18sports.com/productdetails/sd18-kashmiri-willow-dues-bat-,0,108,0%,5.39
https://sd18sports.com/productdetails/sd18-kashmiri-willow-duess-bat?size=20,0,90,0%,4.52
https://sd18sports.com/productdetails/sd18-test-leg-guard,0,84,0%,5.92
https://sd18sports.com/discounts?page=3,0,76,0%,8.51
https://sd18sports.com/productdetails/sd18-dasher-bag,0,67,0%,9.39
https://sd18sports.com/productdetails/sd18-club-red-ball,0,54,0%,7.07
https://sd18sports.com/productdetails/white-tournament-ball,0,52,0%,5.56
https://sd18sports.com/category/sports-wear?page=3,0,42,0%,6.9
https://sd18sports.com/most-selling-product?page=2,0,40,0%,9.7
https://sd18sports.com/productdetails/premium-black-cap-11594,0,35,0%,10.77
https://sd18sports.com/productdetails/sd18-kashmiri-willow-dues-bats,0,33,0%,5.94
https://sd18sports.com/productdetails/sd18-test-thigh-pad?size=7,0,31,0%,7.9
https://sd18sports.com/productdetails/sd18-white-blue-premium-cap,0,30,0%,8.7
https://sd18sports.com/productdetails/sd18-green-classic-polo-t-shirt,0,28,0%,4.36
https://sd18sports.com/productdetails/sd18-kashmiri-willow-dues-bat,0,23,0%,3.91
https://sd18sports.com/productdetails/sd18-marron-classic-polo-t-shirt,0,22,0%,3.55
https://sd18sports.com/register,0,20,0%,5.55
https://sd18sports.com/new-arrival?page=11,0,20,0%,13
https://sd18sports.com/blog/ethically-sourced,0,19,0%,8.26
https://sd18sports.com/productdetails/beige-hip-hop-cap,0,19,0%,9.05
https://sd18sports.com/productlistresp?page=11,0,18,0%,9.11
https://sd18sports.com/productdetails/sky-blue-golden-hip-hop-cap-12679,0,17,0%,8.41
https://sd18sports.com/productdetails/sky-hip-hop-cap,0,17,0%,10.12
https://sd18sports.com/productdetails/sd18-gold-edition-leg-guard?size=6,0,16,0%,6.81
https://sd18sports.com/productdetails/sd18-cap,0,16,0%,8.69
https://sd18sports.com/subcategory/bag?page=2,0,14,0%,2.36
https://sd18sports.com/productdetails/dark-navy-blue-taiwan-velvet-tracksuit?size=1,0,14,0%,8.79
https://sd18sports.com/productdetails/sd18-little-master-leg-guard?size=7,0,14,0%,11.57
https://sd18sports.com/productdetails/white-test-ball,0,12,0%,6.92
https://sd18sports.com/category/sports-accessories?page=5,0,12,0%,8.17
https://sd18sports.com/productlistresp?page=16,0,12,0%,9.08
https://sd18sports.com/productdetails/linen-lower-light-purple?size=2,0,11,0%,2.09
https://sd18sports.com/most-selling-product?page=9,0,10,0%,10.8
https://sd18sports.com/productdetails/sd18-sky-flexi-cap,0,9,0%,5.89
https://sd18sports.com/most-selling-product?page=8,0,9,0%,7.56
https://sd18sports.com/productdetails/sd18-brown-foam-back-pack-,0,9,0%,7.56
https://sd18sports.com/productdetails/sd18-red-football-jersey,0,9,0%,10.44
https://sd18sports.com/productdetails/sd18-blue-white-flexi-cap,0,8,0%,6.75
https://sd18sports.com/productdetails/black-hip-hop-cap,0,8,0%,14.88
https://sd18sports.com/productdetails/sd18-white-basic-polo-t-shirt,0,7,0%,4.71
https://sd18sports.com/productdetails/sd18-soft-grey-black-hoodie?size=1,0,7,0%,5.14
https://sd18sports.com/new-arrivals?page=3,0,6,0%,4.17
https://sd18sports.com/productdetails/sd18-little-master-thigh-pad,0,6,0%,5.5
https://sd18sports.com/productdetails/ash-taiwan-velvet-tracksuit,0,6,0%,5.83
https://sd18sports.com/productdetails/sd18-kashmiri-willow-duess-bat-,0,6,0%,6
https://sd18sports.com/productdetails/sd18-orange-basic-polo-t-shirt,0,5,0%,2.8
https://sd18sports.com/productdetails/sd18-pro-bag-pack,0,5,0%,2.8
https://sd18sports.com/blog/summer-collections,0,5,0%,6
https://sd18sports.com/productdetails/player-edition-wicket-keeping-leg-guard,0,5,0%,6.4
